,x,y
0,43,19
1,37,26
2,34,18
3,12,12
4,20,24
5,47,45
6,29,39
7,21,15
8,34,18
9,9,24
10,26,44
11,33,5
12,14,23
13,15,17
14,30,5
15,20,24
16,11,37
17,11,34
18,37,17
19,33,1
20,41,4
21,20,3
22,18,27
23,31,32
24,30,6
25,20,0
26,2,33
27,43,17
28,32,43
29,20,11
30,20,49
31,27,25
32,12,33
33,19,45
34,11,21
35,14,36
36,25,47
37,9,24
38,0,8
39,26,47
40,46,25
41,49,40
42,40,29
43,3,18
44,3,17
45,43,48
46,29,16
47,2,31
48,45,29
49,1,9
50,14,21
51,30,27
52,20,24
53,24,23
54,49,42
55,41,22
56,17,12
57,25,33
58,48,4
59,30,16
60,26,34
61,46,38
62,15,43
63,12,17
64,23,1
65,13,24
66,28,42
67,1,17
68,45,45
69,35,12
70,41,45
71,24,10
72,0,10
73,4,26
74,23,4
75,12,26
76,40,8
77,2,44
78,15,33
79,0,0
80,11,17
81,35,24
82,7,37
83,8,2
84,7,37
85,35,21
86,2,18
87,48,46
88,18,38
89,11,38
90,14,36
91,11,13
92,45,17
93,4,44
94,3,7
95,12,41
96,45,44
97,28,29
98,36,48
99,21,36
100,29,23
101,45,14
102,26,25
103,48,39
104,14,19
105,36,4
106,43,14
107,29,9
108,44,4
109,36,35
110,23,8
111,45,9
112,17,20
113,39,17
114,13,49
115,31,22
116,6,30
117,31,13
118,11,7
119,4,17
120,42,26
121,20,12
122,32,14
123,6,15
124,18,47
125,8,2
126,13,24
127,46,34
128,8,33
129,15,10
130,40,5
131,14,19
132,34,14
133,2,24
134,37,23
135,44,44
136,17,0
137,33,41
138,11,11
139,21,29
140,32,19
141,8,24
142,45,7
143,10,15
144,29,32
145,26,28
146,7,9
147,48,0
148,40,19
149,28,24
150,39,12
151,0,0
152,11,45
153,41,2
154,4,44
155,32,38
156,12,45
157,9,30
158,21,34
159,19,7
160,34,33
161,1,41
162,7,29
163,33,37
164,39,40
165,28,4
166,8,48
167,21,8
168,42,34
169,44,33
170,21,6
171,32,3
172,48,49
173,30,10
174,32,8
175,36,45
176,32,39
177,47,25
178,42,35
179,25,1
180,8,45
181,29,29
182,27,31
183,29,20
184,32,11
185,33,11
186,34,17
187,29,1
188,33,27
189,48,11
190,4,13
191,20,37
192,38,34
193,30,40
194,35,44
195,31,41
196,6,20
197,26,3
198,9,7
199,38,38
